indexnummer,klachtnummer,naam,email,telefoon,hoofdcategorie,subcategorie,behandeltermijn,status,bron,gebied,wijk,tevredenheid,team,wijziging,datum,behandelsduur
3671,KL75D2AE4C,Emma Koster,emma.koster673@gmail.com,,Geluidsoverlast,Horeca,7 dagen,Geannuleerd,internet,Tongelre,De Laak,,Team Handhaving,0,2025-02-14,
3672,KL540A207E,Tess Mulder,tess.mulder314@gmail.com,0699640178,Afval en reiniging,Zwerfvuil,5 dagen,Heropend,app,Gestel,Rozenknopje,,Team Reiniging,0,2025-02-01,
3673,KL261F5CA8,Daan van Dijk,daan.van dijk405@outlook.com,0613314398,Openbaar vervoer,Klacht over dienstverlening,5 dagen,Openstaand,telefoon,Centrum,De Bergen,,Team Wegen & Verkeer,0,2025-02-03,
3674,KL789CA0AE,Mila Koster,mila.koster317@hotmail.com,0685996225,Parkeerproblemen,Foutparkeren,1 dag,Heropend,formulier,Centrum,Fellenoord,,Team Handhaving,0,2025-02-14,
3675,KLCD1EACDF,Mila Mulder,mila.mulder659@hotmail.com,,Zorg en ondersteuning,Klachten over hulpverleners,10 dagen,Heropend,app,Gestel,Rozenknopje,,Team Sociaal Domein,0,2025-02-11,
3676,KLDB32E45D,Sophie Jansen,sophie.jansen65@hotmail.com,0655607844,Groenvoorziening,Overhangend groen,14 dagen,Heropend,app,Woensel Zuid,Begijnenbroek,,Team Groenvoorziening,0,2025-01-31,
3677,KL091E23A1,Sophie Visser,sophie.visser109@gmail.com,0683070472,Parkeerproblemen,Foutparkeren,1 dag,In behandeling,internet,Strijp,Meerhoven,,Team Handhaving,0,2025-02-14,
3678,KL0165A67C,Sophie Koster,sophie.koster638@gmail.com,,Illegale activiteiten,Hennepkwekerijen,1 dag (melden politie),Afgehandelde klacht,app,Gestel,Rozenknopje,Ontevreden,Team Handhaving,0,2025-02-11,4.0
3679,KL16C32C4B,Sara Visser,sara.visser21@gmail.com,0611268310,Vandalisme,Graffiti,10 dagen,In behandeling,app,Stratum,Putten,,Team Handhaving,0,2025-02-16,
3680,KLA64B6B4E,Tess Smit,tess.smit577@gmail.com,0668558846,Vandalisme,Graffiti,10 dagen,Afgehandelde klacht,internet,Woensel Noord,Dommelbeemd,Neutraal,Team Handhaving,0,2025-02-17,1.0
3681,KL1D68AF0C,Noah de Vries,noah.de vries955@gmail.com,0635652205,Afval en reiniging,Zwerfvuil,5 dagen,In behandeling,app,Woensel Noord,Ontginning,,Team Reiniging,0,2025-02-06,
3682,KL8A9D06B5,Sara de Boer,sara.de boer302@hotmail.com,0619419389,Afval en reiniging,Zwerfvuil,5 dagen,Heropend,app,Strijp,Halve Maan,,Team Reiniging,0,2025-01-31,
3683,KL483A4C25,Sara Bakker,sara.bakker821@outlook.com,0673544336,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,internet,Stratum,Oud-Stratum,,Team Reiniging,0,2025-01-29,
3684,KLAC86E878,Julia Meijer,julia.meijer125@outlook.com,,Bouwvergunning,Illegale aanbouw,14 dagen,Heropend,onbekend,Woensel Zuid,Erp,,Team Bouw & Toezicht,0,2025-02-13,
3685,KL2D0A7774,Noah Visser,noah.visser662@hotmail.com,0692782647,Afval en reiniging,Verstopte putten,3 dagen,Openstaand,internet,Gestel,Oud-Gestel,,Team Reiniging,0,2025-01-30,
3686,KLBC8E5016,Sophie Meijer,sophie.meijer760@gmail.com,0665547291,Groenvoorziening,Onkruidbestrijding,14 dagen,Heropend,onbekend,Gestel,Rozenknopje,,Team Groenvoorziening,0,2025-02-18,
3687,KL9B7CA64D,Sara Smit,sara.smit662@voorbeeld.nl,0699219391,Woningtoezicht,Achterstallig onderhoud,10 dagen,Openstaand,app,Stratum,Kortonjo,,Team Bouw & Toezicht,0,2025-01-28,
3688,KL5B879325,Liam Smit,liam.smit135@hotmail.com,0694880801,Afval en reiniging,Dumping grofvuil,5 dagen,In behandeling,app,Tongelre,Oud-Tongelre,,Team Reiniging,0,2025-02-12,
3689,KL121C1E5D,Sara Jansen,sara.jansen942@gmail.com,0650048005,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,app,Centrum,TU-terrein,,Team Reiniging,0,2025-02-26,
3690,KL2EB42EEC,Noah Koster,noah.koster693@hotmail.com,0610601354,Afval en reiniging,Niet geleegde containers,3 dagen,Heropend,internet,Strijp,Halve Maan,,Team Groenvoorziening,1,2025-02-04,
3691,KL94CB555E,Tess de Boer,tess.de boer859@gmail.com,0685015613,Straatverlichting,Knipperende verlichting,10 dagen,Geannuleerd,internet,Woensel Zuid,Oud-Woensel,,Team Verlichting,0,2025-02-11,
3692,KLE209FAF0,Tess de Boer,tess.de boer730@gmail.com,0688010062,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Openstaand,app,Woensel Noord,Ontginning,,Team Bouw & Toezicht,1,2025-02-14,
3693,KLDD64D4A4,Julia van Dijk,julia.van dijk755@hotmail.com,0638578405,Afval en reiniging,Niet geleegde containers,3 dagen,Heropend,app,Strijp,Oud-Strijp,,Team Reiniging,0,2025-02-25,
3694,KL0C334B83,Tess Smit,tess.smit377@voorbeeld.nl,,Straatverlichting,Lantaarnpaal kapot,10 dagen,Heropend,internet,Tongelre,Oud-Tongelre,,Team Verlichting,0,2025-02-08,
3695,KLF4A13E23,Liam Meijer,liam.meijer430@hotmail.com,,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,Afgehandelde klacht,app,Stratum,Putten,Ontevreden,Team Handhaving,0,2025-02-01,9.0
3696,KLF7114C4D,Emma Koster,emma.koster984@hotmail.com,,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Afgehandelde klacht,telefoon,Gestel,Rozenknopje,Neutraal,Team Spelen & Sport,0,2025-02-15,18.0
3697,KLF4840583,Noah Smit,noah.smit222@gmail.com,0629131833,Groenvoorziening,Onkruidbestrijding,14 dagen,Geannuleerd,telefoon,Woensel Noord,Achtse Molen,,Team Groenvoorziening,0,2025-01-31,
3698,KL08012E24,Julia Bakker,julia.bakker524@hotmail.com,0688374068,Groenvoorziening,Omgevallen boom,2 dagen,Heropend,app,Stratum,Oud-Stratum,,Team Groenvoorziening,0,2025-02-04,
3699,KL09F29B7F,Daan van Dijk,daan.van dijk950@gmail.com,0667400827,Straatverlichting,Lantaarnpaal kapot,10 dagen,Afgehandelde klacht,internet,Strijp,Oud-Strijp,Tevreden,Team Verlichting,0,2025-02-07,8.0
3700,KLDB840B51,Sophie Koster,sophie.koster556@hotmail.com,0654655471,Openbaar vervoer,Beschadigde haltes,7 dagen,Geannuleerd,formulier,Woensel Zuid,Oud-Woensel,,Team Wegen & Verkeer,0,2025-02-19,
3701,KL13908C6A,Finn van Dijk,,,Straatverlichting,Lantaarnpaal kapot,10 dagen,Afgehandelde klacht,app,Woensel Zuid,Begijnenbroek,Neutraal,Team Verlichting,0,2025-02-17,20.0
3702,KL7E143DBF,Sara Smit,sara.smit95@outlook.com,0639228604,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,Geannuleerd,internet,Woensel Noord,Ontginning,,Team Sociaal Domein,0,2025-02-20,
3703,KL2EEA50BD,Liam Meijer,liam.meijer656@outlook.com,0625148330,Afval en reiniging,Dumping grofvuil,5 dagen,Heropend,internet,Tongelre,De Laak,,Team Reiniging,0,2025-02-05,
3704,KL1DBE9803,Liam Jansen,liam.jansen461@hotmail.com,0625582638,Parkeerproblemen,Foutparkeren,1 dag,Heropend,onbekend,Stratum,Oud-Stratum,,Team Sociaal Domein,1,2025-02-06,
3705,KL1C4BBE89,Sophie de Boer,sophie.de boer892@gmail.com,0667985273,Woningtoezicht,Ongedierte,5 dagen,Afgehandelde klacht,app,Stratum,Kortonjo,Ontevreden,Team Bouw & Toezicht,0,2025-02-15,19.0
3706,KL8F832747,Tess van Dijk,tess.van dijk634@outlook.com,0614708233,Afval en reiniging,Zwerfvuil,5 dagen,In behandeling,telefoon,Stratum,Oud-Stratum,,Team Handhaving,1,2025-02-13,
3707,KLE6D6BEAF,Julia Bakker,julia.bakker367@gmail.com,0650926503,Spelen en sport,Beschadigde speeltoestellen,5 dagen,In behandeling,app,Strijp,Halve Maan,,Team Spelen & Sport,0,2025-02-02,
3708,KL346A92AE,Emma Jansen,emma.jansen794@hotmail.com,0610079756,Straatverlichting,Knipperende verlichting,10 dagen,Afgehandelde klacht,telefoon,Tongelre,Oud-Tongelre,Ontevreden,Team Verlichting,0,2025-02-21,11.0
3709,KLC0E0B956,Mila Visser,mila.visser700@gmail.com,0660242305,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Openstaand,formulier,Centrum,Fellenoord,,Team Handhaving,0,2025-02-09,
3710,KL42A10B12,Daan de Boer,daan.de boer46@hotmail.com,0686336321,Afval en reiniging,Verstopte putten,3 dagen,In behandeling,telefoon,Woensel Zuid,Begijnenbroek,,Team Reiniging,0,2025-02-21,
3711,KL5B067972,Tess de Vries,tess.de vries427@outlook.com,0689073673,Afval en reiniging,Zwerfvuil,5 dagen,In behandeling,app,Strijp,Oud-Strijp,,Team Reiniging,0,2025-02-08,
3712,KL3928E702,Noah de Vries,noah.de vries415@gmail.com,0638786583,Afval en reiniging,Verstopte putten,3 dagen,In behandeling,app,Woensel Zuid,Begijnenbroek,,Team Reiniging,0,2025-02-07,
3713,KL27526F63,Emma de Boer,emma.de boer997@hotmail.com,0637049693,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,internet,Tongelre,De Laak,,Team Reiniging,0,2025-02-12,
3714,KL6CD4E55F,Emma Smit,emma.smit597@gmail.com,0648061617,Parkeerproblemen,Foutparkeren,1 dag,Afgehandelde klacht,telefoon,Woensel Noord,Achtse Molen,Zeer ontevreden,Team Handhaving,0,2025-02-09,2.0
3715,KLFB8C065D,Emma de Boer,emma.de boer250@gmail.com,0644313226,Afval en reiniging,Zwerfvuil,5 dagen,Afgehandelde klacht,telefoon,Centrum,Witte Dame,Tevreden,Team Reiniging,0,2025-02-25,20.0
3716,KL54CAD9AA,Sara van Dijk,sara.van dijk580@outlook.com,,Bouwvergunning,Overlast door projecten,7 dagen,Heropend,formulier,Gestel,Rozenknopje,,Team Bouw & Toezicht,0,2025-01-29,
3717,KLB6842BCB,Noah Smit,noah.smit10@gmail.com,0676797558,Afval en reiniging,Dumping grofvuil,5 dagen,Heropend,app,Woensel Noord,Dommelbeemd,,Team Reiniging,0,2025-02-02,
3718,KLC5D159BD,Mila Jansen,,0677185083,Groenvoorziening,Omgevallen boom,2 dagen,Openstaand,app,Centrum,TU-terrein,,Team Groenvoorziening,0,2025-01-29,
3719,KLA903DEC3,Sara Smit,sara.smit180@outlook.com,0650923477,Spelen en sport,Vervuiling sportveld,7 dagen,Geannuleerd,telefoon,Gestel,Oud-Gestel,,Team Spelen & Sport,0,2025-02-03,
3720,KLE402A9F3,Sara de Boer,sara.de boer32@outlook.com,0694863769,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Geannuleerd,internet,Woensel Zuid,Begijnenbroek,,Team Handhaving,0,2025-02-20,
3721,KL8E2A8ECE,Noah Smit,noah.smit649@hotmail.com,,Straatverlichting,Lantaarnpaal kapot,10 dagen,In behandeling,app,Strijp,Meerhoven,,Team Verlichting,0,2025-02-01,
3722,KLA2222E0C,Daan Visser,,0663482871,Openbaar vervoer,Beschadigde haltes,7 dagen,Geannuleerd,telefoon,Tongelre,De Laak,,Team Wegen & Verkeer,0,2025-02-20,
3723,KLDBCF3582,Tess Bakker,tess.bakker754@voorbeeld.nl,0648806294,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Openstaand,app,Woensel Noord,Ontginning,,Team Handhaving,0,2025-02-22,
3724,KL7BC627D5,Tess Smit,tess.smit733@voorbeeld.nl,0646864852,Straatverlichting,Lantaarnpaal kapot,10 dagen,Openstaand,app,Strijp,Halve Maan,,Team Verlichting,0,2025-01-30,
3725,KLD4B9535C,Emma de Boer,emma.de boer996@gmail.com,,Illegale activiteiten,Woningdelen zonder vergunning,7 dagen,Openstaand,app,Stratum,Putten,,Team Handhaving,0,2025-02-03,
3726,KL389ADAB2,Daan Jansen,daan.jansen420@voorbeeld.nl,0632060331,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,app,Centrum,Fellenoord,,Team Reiniging,0,2025-02-20,
3727,KLD56B98A9,Sara Bakker,sara.bakker237@outlook.com,0659852193,Afval en reiniging,Zwerfvuil,5 dagen,Afgehandelde klacht,app,Stratum,Oud-Stratum,Zeer tevreden,Team Reiniging,0,2025-02-23,9.0
3728,KL13D9C744,Finn de Boer,finn.de boer271@hotmail.com,,Afval en reiniging,Verstopte putten,3 dagen,Afgehandelde klacht,app,Strijp,Meerhoven,Neutraal,Team Reiniging,0,2025-02-13,17.0
3729,KL71935AA0,Sophie van Dijk,sophie.van dijk881@hotmail.com,0624900459,Illegale activiteiten,Hennepkwekerijen,1 dag (melden politie),Afgehandelde klacht,app,Woensel Noord,Aanschot,Ontevreden,Team Handhaving,0,2025-02-25,13.0
3730,KL649D5618,Finn Jansen,finn.jansen659@gmail.com,,Afval en reiniging,Verstopte putten,3 dagen,In behandeling,app,Centrum,Fellenoord,,Team Verlichting,1,2025-02-23,
3731,KLF15126AB,Mila Bakker,,0640051720,Straatverlichting,Knipperende verlichting,10 dagen,Openstaand,internet,Strijp,Oud-Strijp,,Team Verlichting,0,2025-02-25,
3732,KL1F1D312F,Sophie Bakker,sophie.bakker109@hotmail.com,0646196875,Vandalisme,Graffiti,10 dagen,Heropend,app,Woensel Noord,Aanschot,,Team Handhaving,0,2025-02-22,
3733,KL13756660,Liam de Boer,liam.de boer83@hotmail.com,0677266396,Groenvoorziening,Onkruidbestrijding,14 dagen,Geannuleerd,telefoon,Gestel,Oud-Gestel,,Team Groenvoorziening,0,2025-02-09,
3734,KLA89A8872,Mila Smit,mila.smit388@hotmail.com,0628680597,Geluidsoverlast,Horeca,7 dagen,Afgehandelde klacht,app,Gestel,Oud Kasteel,Ontevreden,Team Handhaving,0,2025-01-29,4.0
3735,KL826E1F54,Liam Mulder,liam.mulder383@gmail.com,0696504572,Afval en reiniging,Niet geleegde containers,3 dagen,Afgehandelde klacht,internet,Tongelre,Oud-Tongelre,Neutraal,Team Reiniging,0,2025-02-07,17.0
3736,KL6A84F71F,Liam Jansen,liam.jansen466@hotmail.com,0688716875,Afval en reiniging,Verstopte putten,3 dagen,Geannuleerd,app,Stratum,Oud-Stratum,,Team Reiniging,0,2025-02-23,
3737,KLFA271D1C,Daan Bakker,daan.bakker464@gmail.com,0668071723,Straatverlichting,Lantaarnpaal kapot,10 dagen,In behandeling,telefoon,Stratum,Putten,,Team Verlichting,0,2025-02-13,
3738,KLC32E6B5A,Julia Visser,julia.visser466@outlook.com,0620161358,Straatverlichting,Knipperende verlichting,10 dagen,Geannuleerd,app,Centrum,Binnenstad,,Team Verlichting,0,2025-02-12,
3739,KLD1199C15,Tess Koster,tess.koster772@hotmail.com,0697913500,Afval en reiniging,Verstopte putten,3 dagen,Geannuleerd,internet,Gestel,Oud Kasteel,,Team Reiniging,0,2025-02-07,
3740,KL850661AD,Julia Jansen,julia.jansen503@gmail.com,0618616023,Woningtoezicht,Achterstallig onderhoud,10 dagen,Afgehandelde klacht,internet,Woensel Zuid,Begijnenbroek,Tevreden,Team Bouw & Toezicht,0,2025-02-09,3.0
3741,KL2EF52FF9,Daan Smit,daan.smit370@outlook.com,0634295615,Afval en reiniging,Dumping grofvuil,5 dagen,In behandeling,internet,Tongelre,De Laak,,Team Reiniging,0,2025-01-30,
3742,KL475E7061,Noah van Dijk,noah.van dijk14@gmail.com,0685401554,Afval en reiniging,Zwerfvuil,5 dagen,In behandeling,formulier,Gestel,Oud Kasteel,,Team Reiniging,0,2025-02-18,
3743,KL7AD804F4,Emma de Vries,,0634465638,Zorg en ondersteuning,Klachten over hulpverleners,10 dagen,Heropend,internet,Tongelre,Oud-Tongelre,,Team Sociaal Domein,0,2025-02-25,
3744,KLC3DD99CA,Liam Bakker,liam.bakker704@gmail.com,0643697735,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,Afgehandelde klacht,app,Woensel Zuid,Begijnenbroek,Ontevreden,Team Handhaving,0,2025-02-18,18.0
3745,KL43BBA917,Tess Koster,tess.koster872@hotmail.com,,Afval en reiniging,Verstopte putten,3 dagen,Heropend,internet,Woensel Noord,Aanschot,,Team Reiniging,0,2025-02-05,
3746,KL37288F6D,Emma van Dijk,emma.van dijk577@gmail.com,0629212732,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,Openstaand,formulier,Tongelre,De Laak,,Team Sociaal Domein,0,2025-01-31,
3747,KL9EABED86,Daan Jansen,daan.jansen486@gmail.com,0699714507,Zorg en ondersteuning,Klachten over hulpverleners,10 dagen,In behandeling,internet,Strijp,Halve Maan,,Team Sociaal Domein,0,2025-02-14,
3748,KL61E3713D,Noah Mulder,noah.mulder149@hotmail.com,,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Openstaand,telefoon,Woensel Noord,Achtse Molen,,Team Spelen & Sport,0,2025-02-12,
3749,KLC6D7F23A,Liam Koster,liam.koster809@outlook.com,0615742549,Straatverlichting,Knipperende verlichting,10 dagen,Heropend,app,Stratum,Putten,,Team Verlichting,0,2025-01-30,
3750,KLD5D68BB9,Noah Jansen,,0658782839,Afval en reiniging,Zwerfvuil,5 dagen,Afgehandelde klacht,app,Gestel,Oud Kasteel,Zeer tevreden,Team Reiniging,0,2025-02-15,17.0
3751,KL09F0B223,Julia Mulder,julia.mulder318@gmail.com,0639772651,Spelen en sport,Beschadigde speeltoestellen,5 dagen,In behandeling,app,Tongelre,Oud-Tongelre,,Team Spelen & Sport,0,2025-01-31,
3752,KLE754410B,Daan Meijer,daan.meijer615@gmail.com,0666251431,Dieren,Overlast door dieren,7 dagen,In behandeling,telefoon,Woensel Zuid,Erp,,Team Handhaving,0,2025-02-16,
3753,KL09A84396,Daan de Boer,daan.de boer956@hotmail.com,,Spelen en sport,Vervuiling sportveld,7 dagen,Heropend,telefoon,Centrum,Binnenstad,,Team Spelen & Sport,0,2025-02-15,
3754,KL2D4070F4,Daan Jansen,daan.jansen877@gmail.com,,Afval en reiniging,Verstopte putten,3 dagen,In behandeling,app,Tongelre,De Laak,,Team Reiniging,0,2025-02-04,
3755,KLDBDBC2B6,Mila de Vries,mila.de vries873@gmail.com,0644774141,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Geannuleerd,app,Gestel,Oud-Gestel,,Team Wegen & Verkeer,0,2025-02-12,
3756,KL62703C8D,Julia Koster,julia.koster888@gmail.com,0665933205,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Afgehandelde klacht,internet,Woensel Noord,Dommelbeemd,Tevreden,Team Wegen & Verkeer,0,2025-01-30,6.0
3757,KL9E7F3800,Sara Koster,,0637714253,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),In behandeling,app,Woensel Noord,Dommelbeemd,,Team Wegen & Verkeer,0,2025-02-13,
3758,KL454C397E,Finn Meijer,finn.meijer195@hotmail.com,0643720753,Straatverlichting,Lantaarnpaal kapot,10 dagen,In behandeling,telefoon,Centrum,Binnenstad,,Team Verlichting,0,2025-02-01,
3759,KLB88EB4DD,Julia de Vries,julia.de vries57@outlook.com,,Afval en reiniging,Verstopte putten,3 dagen,Openstaand,internet,Centrum,Witte Dame,,Team Bouw & Toezicht,1,2025-02-08,
3760,KL59AC97AC,Finn Smit,finn.smit366@gmail.com,0681226848,Afval en reiniging,Verstopte putten,3 dagen,Afgehandelde klacht,formulier,Woensel Noord,Aanschot,Zeer tevreden,Team Reiniging,0,2025-02-10,1.0
3761,KL3FB61F20,Liam Meijer,liam.meijer547@gmail.com,0651619115,Afval en reiniging,Dumping grofvuil,5 dagen,Afgehandelde klacht,app,Centrum,Binnenstad,Zeer ontevreden,Team Reiniging,0,2025-02-20,1.0
3762,KL469F1376,Emma Meijer,emma.meijer789@gmail.com,0656293820,Verkeer en wegen,Gat in de weg,5 dagen,Afgehandelde klacht,telefoon,Centrum,Fellenoord,Tevreden,Team Wegen & Verkeer,0,2025-02-03,13.0
3763,KL85F9C445,Noah Smit,noah.smit217@voorbeeld.nl,0676418955,Bouwvergunning,Illegale aanbouw,14 dagen,Openstaand,app,Strijp,Oud-Strijp,,Team Bouw & Toezicht,0,2025-02-06,
3764,KL673DF521,Julia de Boer,julia.de boer178@gmail.com,0664841771,Afval en reiniging,Dumping grofvuil,5 dagen,Afgehandelde klacht,telefoon,Tongelre,Oud-Tongelre,Zeer tevreden,Team Reiniging,0,2025-02-10,9.0
3765,KL417A719A,Mila Meijer,mila.meijer182@gmail.com,,Afval en reiniging,Zwerfvuil,5 dagen,Afgehandelde klacht,telefoon,Gestel,Oud-Gestel,Ontevreden,Team Reiniging,0,2025-02-25,2.0
3766,KLF97B149D,Sara Koster,sara.koster186@gmail.com,0686508891,Afval en reiniging,Verstopte putten,3 dagen,Heropend,internet,Gestel,Oud-Gestel,,Team Reiniging,0,2025-01-29,
3767,KL094B4CFB,Sara van Dijk,sara.van dijk199@voorbeeld.nl,0663189670,Afval en reiniging,Niet geleegde containers,3 dagen,Geannuleerd,app,Gestel,Oud Kasteel,,Team Reiniging,0,2025-02-07,
3768,KLEFA68933,Noah Mulder,noah.mulder690@gmail.com,0694929045,Parkeerproblemen,Foutparkeren,1 dag,In behandeling,internet,Woensel Noord,Dommelbeemd,,Team Handhaving,0,2025-02-18,
3769,KLB6268652,Liam de Vries,liam.de vries60@hotmail.com,0694658415,Afval en reiniging,Verstopte putten,3 dagen,Heropend,app,Woensel Noord,Aanschot,,Team Reiniging,0,2025-02-20,
3770,KL955DBEA8,Tess Smit,tess.smit413@outlook.com,0653077751,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,app,Strijp,Halve Maan,,Team Reiniging,0,2025-02-04,
3771,KL9A9E02E2,Tess Bakker,tess.bakker968@gmail.com,0668949541,Straatverlichting,Lantaarnpaal kapot,10 dagen,Geannuleerd,onbekend,Woensel Noord,Dommelbeemd,,Team Verlichting,0,2025-02-24,
3772,KLA3919383,Noah Jansen,noah.jansen292@outlook.com,0686800856,Verkeer en wegen,Gat in de weg,5 dagen,Afgehandelde klacht,internet,Woensel Zuid,Erp,Ontevreden,Team Wegen & Verkeer,0,2025-02-23,8.0
3773,KL9E688057,Daan de Boer,daan.de boer161@voorbeeld.nl,0685634822,Parkeerproblemen,Foutparkeren,1 dag,Afgehandelde klacht,formulier,Tongelre,De Laak,Ontevreden,Team Handhaving,0,2025-01-28,13.0
3774,KL170B0C96,Finn Meijer,finn.meijer224@gmail.com,0679383114,Illegale activiteiten,Hennepkwekerijen,1 dag (melden politie),Afgehandelde klacht,app,Stratum,Putten,Zeer tevreden,Team Handhaving,0,2025-02-25,6.0
3775,KL312F43BE,Julia de Vries,julia.de vries840@hotmail.com,0610791415,Afval en reiniging,Zwerfvuil,5 dagen,Openstaand,app,Centrum,Binnenstad,,Team Reiniging,0,2025-02-26,
3776,KL4E913CE8,Mila van Dijk,mila.van dijk692@gmail.com,,Parkeerproblemen,Foutparkeren,1 dag,In behandeling,app,Gestel,Oud Kasteel,,Team Handhaving,0,2025-02-13,
3777,KLABFA2ACF,Mila Meijer,mila.meijer814@hotmail.com,,Vandalisme,Graffiti,10 dagen,Afgehandelde klacht,app,Woensel Noord,Achtse Molen,Zeer tevreden,Team Handhaving,0,2025-02-26,6.0
3778,KL30EBF53B,Emma Meijer,emma.meijer475@gmail.com,0622204046,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,app,Strijp,Meerhoven,,Team Reiniging,0,2025-02-25,
3779,KLB3151433,Noah de Boer,,0618623093,Afval en reiniging,Verstopte putten,3 dagen,Geannuleerd,app,Centrum,Witte Dame,,Team Reiniging,0,2025-02-03,
3780,KLCFAF14F3,Daan Jansen,daan.jansen494@gmail.com,0682430254,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,Geannuleerd,internet,Centrum,TU-terrein,,Team Sociaal Domein,0,2025-02-20,
3781,KL797441FA,Noah Visser,noah.visser977@gmail.com,,Zorg en ondersteuning,Klachten over hulpverleners,10 dagen,Afgehandelde klacht,telefoon,Gestel,Oud-Gestel,Tevreden,Team Sociaal Domein,0,2025-02-25,9.0
3782,KLB323E7DF,Sara Koster,sara.koster658@gmail.com,0678784430,Vandalisme,Graffiti,10 dagen,Geannuleerd,telefoon,Stratum,Oud-Stratum,,Team Handhaving,0,2025-02-24,
3783,KL8B46AC8E,Mila Mulder,mila.mulder317@outlook.com,0662345490,Woningtoezicht,Ongedierte,5 dagen,Geannuleerd,onbekend,Woensel Noord,Dommelbeemd,,Team Bouw & Toezicht,0,2025-01-29,
3784,KL8C1611E4,Julia Smit,julia.smit262@gmail.com,0659622035,Verkeer en wegen,Verkeersbord ontbreekt/beschadigd,10 dagen,Afgehandelde klacht,app,Stratum,Oud-Stratum,Ontevreden,Team Wegen & Verkeer,0,2025-02-01,15.0
3785,KL87754265,Sophie Meijer,sophie.meijer970@outlook.com,0623296142,Afval en reiniging,Niet geleegde containers,3 dagen,Afgehandelde klacht,app,Stratum,Putten,Ontevreden,Team Reiniging,0,2025-02-04,4.0
3786,KLE60C51BD,Emma Koster,emma.koster941@hotmail.com,0667416174,Openbaar vervoer,Beschadigde haltes,7 dagen,Geannuleerd,app,Tongelre,Oud-Tongelre,,Team Wegen & Verkeer,0,2025-02-07,
3787,KLCA001284,Sara Visser,sara.visser190@gmail.com,0628925253,Afval en reiniging,Verstopte putten,3 dagen,In behandeling,internet,Stratum,Kortonjo,,Team Reiniging,0,2025-02-26,
3788,KLA4488C9B,Julia Meijer,julia.meijer419@gmail.com,,Straatverlichting,Knipperende verlichting,10 dagen,In behandeling,app,Woensel Zuid,Erp,,Team Verlichting,0,2025-02-10,
3789,KLF7CCC525,Finn Bakker,finn.bakker418@hotmail.com,,Straatverlichting,Knipperende verlichting,10 dagen,Openstaand,telefoon,Woensel Zuid,Oud-Woensel,,Team Sociaal Domein,1,2025-02-14,
3790,KL850001F9,Emma Visser,,0629332346,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,In behandeling,internet,Strijp,Meerhoven,,Team Sociaal Domein,0,2025-01-30,
3791,KLB05FD3FC,Noah Jansen,noah.jansen367@gmail.com,0643786108,Afval en reiniging,Dumping grofvuil,5 dagen,Geannuleerd,internet,Strijp,Oud-Strijp,,Team Reiniging,0,2025-02-06,
3792,KLA51B7BEF,Finn Visser,finn.visser310@outlook.com,0663030740,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Geannuleerd,internet,Strijp,Oud-Strijp,,Team Spelen & Sport,0,2025-02-05,
3793,KL444EEF33,Tess Jansen,tess.jansen630@hotmail.com,0617488444,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Heropend,app,Woensel Noord,Achtse Molen,,Team Wegen & Verkeer,0,2025-02-25,
3794,KL17FAB329,Sophie Meijer,sophie.meijer561@gmail.com,0638773377,Afval en reiniging,Niet geleegde containers,3 dagen,Afgehandelde klacht,app,Woensel Zuid,Erp,Zeer ontevreden,Team Reiniging,0,2025-02-18,13.0
3795,KLDC57A3D4,Liam Smit,,0642336320,Dieren,Dode of gewonde dieren - op straat,1 dag,Afgehandelde klacht,telefoon,Stratum,Putten,Zeer ontevreden,Team Handhaving,0,2025-01-29,15.0
3796,KLC601F57F,Noah Koster,noah.koster467@gmail.com,0679690155,Bouwvergunning,Illegale aanbouw,14 dagen,In behandeling,app,Gestel,Oud Kasteel,,Team Bouw & Toezicht,0,2025-02-15,
3797,KL997DF400,Liam Meijer,liam.meijer816@outlook.com,0653825891,Afval en reiniging,Zwerfvuil,5 dagen,Openstaand,app,Woensel Zuid,Begijnenbroek,,Team Reiniging,0,2025-02-11,
